model,source_language,target_language,is_self_transfer,best_accuracy_layer,best_accuracy,best_accuracy_pct,best_macro_f1_layer,best_macro_f1,best_macro_f1_pct,num_layers
afro-xlmr-large,hau,hau,True,10,0.9014768752429071,90.1476875242907,10,0.788441872287373,78.8441872287373,25
afro-xlmr-large,hau,ibo,False,12,0.6230545189769728,62.30545189769728,12,0.39211981919884203,39.2119819198842,25
afro-xlmr-large,hau,swa,False,15,0.4925967400771432,49.259674007714324,15,0.3371592844359635,33.71592844359635,25
afro-xlmr-large,hau,wol,False,18,0.3636520538488091,36.36520538488091,18,0.177296777857462,17.7296777857462,25
afro-xlmr-large,hau,yor,False,13,0.5244078151115209,52.44078151115209,13,0.3758591517468803,37.585915174688026,25
afro-xlmr-large,ibo,hau,False,11,0.5850498769270631,58.50498769270631,11,0.3728796789835153,37.28796789835153,25
afro-xlmr-large,ibo,ibo,True,14,0.7866114498953308,78.66114498953308,13,0.562710181007721,56.271018100772096,25
afro-xlmr-large,ibo,swa,False,10,0.5873460246360582,58.734602463605825,11,0.3908606021716307,39.08606021716307,25
afro-xlmr-large,ibo,wol,False,13,0.39759521343918997,39.759521343919,19,0.21011730331323208,21.011730331323207,25
afro-xlmr-large,ibo,yor,False,14,0.6245749524523082,62.457495245230824,20,0.4200200744625458,42.00200744625458,25
afro-xlmr-large,swa,hau,False,16,0.4701386189920974,47.01386189920974,13,0.2879157250704884,28.79157250704884,25
afro-xlmr-large,swa,ibo,False,15,0.5250295804132156,52.502958041321556,12,0.35562413087561723,35.56241308756172,25
afro-xlmr-large,swa,swa,True,9,0.8979096677864875,89.79096677864875,9,0.7233193202669125,72.33193202669125,25
afro-xlmr-large,swa,wol,False,18,0.35847428374180185,35.84742837418018,18,0.18344383631528632,18.344383631528633,25
afro-xlmr-large,swa,yor,False,15,0.3819952740476053,38.19952740476053,15,0.26979514385836634,26.979514385836634,25
afro-xlmr-large,wol,hau,False,18,0.4751263116984065,47.51263116984065,2,0.24946583819318857,24.946583819318857,25
afro-xlmr-large,wol,ibo,False,9,0.41963229270956587,41.96322927095659,9,0.20018568500004788,20.01856850000479,25
afro-xlmr-large,wol,swa,False,2,0.4137737961926092,41.37737961926092,0,0.2267543538704357,22.675435387043567,25
afro-xlmr-large,wol,wol,True,4,0.8019790587964561,80.19790587964562,4,0.7163094924480427,71.63094924480427,25
afro-xlmr-large,wol,yor,False,9,0.44568036424413576,44.56803642441358,9,0.23211731440509176,23.211731440509176,25
afro-xlmr-large,yor,hau,False,17,0.5645161290322581,56.451612903225815,19,0.3283894100410662,32.83894100410662,25
afro-xlmr-large,yor,ibo,False,9,0.7446527714571767,74.46527714571766,15,0.4678608017526706,46.78608017526706,25
afro-xlmr-large,yor,swa,False,15,0.4758616399153913,47.58616399153913,15,0.2973667294996156,29.736672949961562,25
afro-xlmr-large,yor,wol,False,15,0.41899666321481993,41.899666321481995,15,0.23819396602266463,23.819396602266462,25
afro-xlmr-large,yor,yor,True,10,0.8826004264883869,88.26004264883869,11,0.7992594624715453,79.92594624715453,25
